CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82107,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],MW | 12:00 PM - 1:15 PM | 42-Coggin College of Business Room 1101,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
82108,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],MW | 3:00 PM - 4:15 PM | 42-Coggin College of Business Room 1101,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
83505,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,48,50,10
83506,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,47,50,10
83955,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],TR | 10:50 AM - 12:05 PM | 42-Coggin College of Business Room 1102,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
83958,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],T | 3:05 PM - 4:20 PM | 51-Social Sciences Room 1209; Online,Hybrid - On Campus/Online,Hybrid,FULL - WAITLIST AVAILABLE,0,50,50,5
83963,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],T | 4:30 PM - 5:45 PM | 51-Social Sciences Room 1209; Online,Hybrid - On Campus/Online,Hybrid,OPEN,1,49,50,5
86343,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,50,50,10
86356,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],T | 6:00 PM - 7:15 PM | 51-Social Sciences Room 1209; Online,Hybrid - On Campus/Online,Hybrid,OPEN,24,26,50,5
86427,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,49,50,10
