CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
82107,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],MW | 12:00 PM - 1:15 PM | 42-Coggin College of Business Room 1101,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
82108,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],MW | 3:00 PM - 4:15 PM | 42-Coggin College of Business Room 1101,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
83955,ACG,2021,ACG 2021,Principles of Financial Accounting,[REDACTED],TR | 10:50 AM - 12:05 PM | 42-Coggin College of Business Room 1102,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
82688,ACG,3103,ACG 3103,Intermediate Accounting Problems and Concepts I,[REDACTED],MW | 1:30 PM - 2:45 PM | 51-Social Sciences Room 1205,Main Campus-UNF,Standard,OPEN,5,70,75,5
83953,ACG,3113,ACG 3113,Intermediate Accounting Problems and Concepts II,[REDACTED],TR | 1:40 PM - 2:55 PM | 42-Coggin College of Business Room 1113,Main Campus-UNF,Standard,OPEN,22,21,43,5
84001,ACG,4361,ACG 4361,Cost Accounting,[REDACTED],TR | 6:00 PM - 7:15 PM | 42-Coggin College of Business Room 1113,Main Campus-UNF,Standard,FULL - WAITLIST AVAILABLE,0,43,43,5
86051,ACG,4361,ACG 4361,Cost Accounting,[REDACTED],TR | 7:30 PM - 8:45 PM | 42-Coggin College of Business Room 1113,Main Campus-UNF,Standard,OPEN,9,34,43,5
83959,ACG,4651,ACG 4651,Auditing,[REDACTED],MW | 4:30 PM - 5:45 PM | 42-Coggin College of Business Room 1116,Main Campus-UNF,Standard,OPEN,5,40,45,5
86117,ACG,4901,ACG 4901,Directed Independent Study in Accounting,[REDACTED],TBA,Main Campus-UNF,Independent,FULL - WAITLIST AVAILABLE,0,1,1,1
82910,ACG,4941,ACG 4941,Accounting Internship,[REDACTED],Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,11,4,15,5
